Fascia,Italia,Piemonte,Valle D'Aosta,Lombardia,Trentino Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
0-4,5.44.30,156.21.00,9.44,391.48.00,62.53.00,184.32.00,55.39.00,62.31.00,164.53.00,129.26.00,34.21.00,63.54.00,229.37.00,53.24.00,19.08,254.22.00,149.22.00,30.27.00,89.52.00,204.34.00,50.02.00
5-9,11.43.40,178.58.00,11.09,451.15.00,59.16.00,219.50.00,55.21.00,57.47.00,196.29.00,164.18.00,46.09.00,75.20.00,260.48.00,59.00.00,26.33.00,269.28.00,174.45.00,35.07.00,95.27.00,222.27.00,65.13.00
10-14,16.12.35,196.05.00,6.30,495.54.00,67.40.00,239.36.00,55.06.00,66.48.00,216.33.00,181.32.00,52.19.00,71.41.00,290.30.00,65.30.00,13.00,312.04.00,195.49.00,37.40.00,101.03.00,246.29.00,81.46.00
15-19,16.17.13,196.46.00,18.41,475.53.00,69.25.00,247.33.00,66.47.00,68.14.00,211.27.00,179.19.00,53.54.00,77.45.00,278.08.00,59.08.00,15.51,326.30.00,209.52.00,36.12.00,104.38.00,264.06.00,69.24.00
20-24,18.02.40,210.23.00,21.31,497.37.00,73.10.00,254.51.00,66.44.00,78.27.00,208.13.00,178.09.00,41.00.00,75.39.00,278.59.00,66.46.00,26.43.00,339.42.00,227.49.00,37.59.00,99.41.00,264.24.00,71.33.00
25-29,3.54.39,212.27.00,19.07,510.59.00,67.08.00,249.23.00,66.00.00,72.17.00,225.44.00,181.15.00,54.05.00,88.19.00,297.17.00,70.41.00,28.47.00,347.35.00,218.36.00,32.57.00,105.11.00,276.22.00,87.09.00
30-34,6.48.26,225.54.00,10.35,562.41.00,72.39.00,258.16.00,61.46.00,84.08.00,242.04.00,190.55.00,52.17.00,79.29.00,326.21.00,79.36.00,19.20,339.47.00,230.31.00,33.37.00,117.49.00,289.56.00,91.45.00
35-39,11.07.12,240.13.00,18.13,600.37.00,74.35.00,279.45.00,78.20.00,90.13.00,259.49.00,213.10.00,61.52.00,99.05.00,357.09.00,78.44.00,31.24.00,358.07.00,236.21.00,33.29.00,121.37.00,300.10.00,95.19.00
40-44,4.17.30,278.17.00,8.30,696.27.00,76.46.00,334.22.00,82.51.00,97.49.00,308.53.00,249.13.00,67.23.00,111.34.00,416.31.00,91.44.00,33.16.00,385.33.00,285.05.00,40.47.00,124.08.00,334.04.00,119.37.00
45-49,15.40.21,349.42.00,24.31.00,823.29.00,83.54.00,401.22.00,96.21.00,131.32.00,382.10.00,312.47.00,69.53.00,119.36.00,483.47.00,107.36.00,32.56.00,433.17.00,310.38.00,46.47.00,134.45.00,375.18.00,136.40.00
50-54,17.48.15,357.59.00,22.16,832.04.00,90.55.00,415.01.00,111.07.00,130.06.00,368.15.00,315.51.00,71.25.00,128.16.00,484.17.00,113.15.00,26.30.00,448.06.00,315.51.00,46.12.00,145.42.00,380.52.00,133.55.00
55-59,14.39.05,350.51.00,14.09,787.01.00,91.32.00,399.36.00,109.35.00,141.22.00,344.24.00,304.27.00,71.48.00,124.54.00,464.02.00,105.51.00,29.44.00,436.05.00,301.37.00,55.30.00,141.24.00,371.32.00,134.41.00
60-64,18.47.36,297.22.00,15.44,649.03.00,80.14.00,338.18.00,88.53.00,113.57.00,295.21.00,253.34.00,70.49.00,112.22.00,378.01.00,96.06.00,27.22.00,360.19.00,268.05.00,54.39.00,131.39.00,337.44.00,119.04.00
65-69,10.59.33,269.23.00,17.55,571.44.00,60.18.00,290.45.00,85.48.00,107.34.00,263.16.00,226.37.00,67.26.00,95.55.00,337.59.00,80.07.00,23.59,328.01.00,243.24.00,41.31.00,126.10.00,298.35.00,115.26.00
70-74,10.23.51,278.31.00,14.09,574.20.00,58.41.00,281.17.00,82.49.00,109.10.00,263.29.00,242.18.00,66.50.00,94.38.00,328.50.00,88.42.00,27.35.00,307.00.00,235.46.00,32.57.00,112.13.00,284.16.00,101.20.00
75-79,11.10.30,205.58.00,15.11,433.20.00,48.51.00,228.40.00,76.13.00,88.28.00,196.24.00,187.13.00,46.28.00,78.10.00,248.57.00,56.53.00,13.26,201.19.00,174.22.00,32.12.00,77.10.00,201.01.00,81.14.00
80-84,6.53.03,201.40.00,20.09,400.23.00,45.40.00,194.25.00,55.48.00,85.30.00,190.50.00,175.39.00,50.37.00,79.08.00,227.32.00,55.54.00,17.01,172.47.00,146.53.00,28.56.00,65.24.00,169.55.00,65.32.00
85-89,7.37.42,130.16.00,15.56,228.38.00,24.33.00,126.37.00,33.34.00,60.37.00,116.53.00,112.57.00,26.37.00,47.09.00,141.53.00,39.17.00,16.30,98.12.00,96.42.00,20.38,47.07.00,114.09.00,40.27.00
90-94,639.58.00,59.51.00,7.57,108.40.00,19.32,56.14.00,17.06,33.47.00,66.28.00,50.41.00,12.28,32.52.00,65.40.00,25.18.00,5.50,50.31.00,41.24.00,13.09,29.54.00,44.31.00,23.25
95-99,148.42.00,12.07,293,25.17.00,13.56,14.16,4.04,13.15,24.28.00,20.45,17.30,17.47,26.27.00,14.13,1.00,16.09,11.14,7.43,8.28,19.00,17.10
100+,19.57,4.29,34,10.54,286,6.29,516,737,11.02,5.53,325,543,11.12,485,132,2.13,1.04,165,558,3.51,569
Italia,62.51.38,8.48.13,125.04.00,25.27.04,2.29.44,18.40.08,4.21.48,9.53.29,11.27.25,14.43.39,868.16.00,9.30.16,17.10.17,5.50.30,297.07.00,15.30.27,18.34.10,560.14.00,15.23.20,18.06.36,11.00.31